data_verificacao,data_ida,data_volta,preco,abaixo_do_limite,observacao
2026-09-19 17:22:35,2026-09-19,2026-09-27,,False,Nenhum preço encontrado na página
2026-09-19 17:36:32,2026-09-19,2026-09-27,,False,Nenhum preço encontrado na página
2026-09-19 17:39:00,2026-09-20,2026-09-28,,False,Nenhum preço encontrado na página
2026-09-19 14:57:09,2026-09-21,2026-09-29,16458.00,True,
2026-09-19 15:11:22,2026-09-22,2026-09-30,,False,Falha ao carregar página: Page.goto: Target page; context or browser has been closed
2026-09-19 15:18:30,2026-11-01,2026-11-09,,False,Nenhum preço encontrado na página
2026-09-19 19:14:22,2026-11-02,2026-11-10,,False,Nenhum preço encontrado na página
2026-09-19 21:30:11,2026-11-03,2026-11-11,,False,Nenhum preço encontrado na página
2026-09-19 18:45:00,2026-11-01,2026-11-09,16458.00,True,
2026-09-19 18:58:09,2026-11-02,2026-11-10,,False,Nenhum preço encontrado na página
2026-09-19 19:12:25,2026-11-03,2026-11-11,,False,Falha ao carregar página: Page.goto: Target page; context or browser has been closed
Call log:
  - navigating to "https://latamtravel-brasil.decolar.com/trip/accommodations/results/PRc2fd0faeec2a4fc69c9c61cf765372c029830903?searchParams=RkgvQ0lUXzE1OTUvQ0lUXzU5NjMvMjAyNi0xMS0wMy8yMDI2LTExLTExL0NJVF81OTYzLzIwMjYtMTEtMDMvMjAyNi0xMS0xMS8yfEgxOkgsRjA6RixYUzpYUw%3D%3D&flow=FH&tripItem=H1&stepNum=0&from=PSB&from=PSB&deviceType=DESKTOP&searchId=4da4e719-a25b-439f-a060-d3dc189e941c&exp_id=a30145d1-fd5b-4207-80a1-916406d87d19&nw=true&abcv=YWJjdi1mb3JjZWRHRFM9ZmFsc2UmYWJjdi1mb3JjZWRGaW5hbD1mYWxzZQ%3D%3D&label=br_web_home-searchbox_packages&tp=eyJJbnMiOjE3ODk4NTQyMDIxNDAsIklyIjoxODE0MH0%3D"; waiting until "domcontentloaded"

2026-09-19 19:16:38,2026-11-01,2026-11-09,,False,Nenhum preço encontrado na página
2026-09-19 23:32:11,2026-11-02,2026-11-10,,False,Nenhum preço encontrado na página
2026-09-20 01:37:40,2026-11-03,2026-11-11,,False,Nenhum preço encontrado na página
2026-09-20 07:02:06,2026-11-04,2026-11-12,,False,Nenhum preço encontrado na página
2026-09-20 12:29:01,2026-11-05,2026-11-13,,False,Nenhum preço encontrado na página
2026-09-20 16:29:01,2026-11-06,2026-11-14,,False,Nenhum preço encontrado na página
2026-09-20 19:02:58,2026-11-07,2026-11-15,,False,Nenhum preço encontrado na página
2026-09-20 21:38:30,2026-11-08,2026-11-16,,False,Nenhum preço encontrado na página
2026-09-20 23:32:36,2026-11-09,2026-11-17,,False,Nenhum preço encontrado na página
2026-09-21 01:40:01,2026-11-10,2026-11-18,,False,Nenhum preço encontrado na página
2026-09-21 07:13:12,2026-11-11,2026-11-19,,False,Nenhum preço encontrado na página
2026-09-21 14:19:37,2026-11-12,2026-11-20,,False,Nenhum preço encontrado na página
2026-09-21 19:36:53,2026-11-13,2026-11-21,,False,Nenhum preço encontrado na página
2026-09-21 22:49:51,2026-11-14,2026-11-22,,False,Nenhum preço encontrado na página
2026-09-22 01:30:21,2026-11-15,2026-11-23,,False,Nenhum preço encontrado na página
2026-09-22 06:47:34,2026-11-16,2026-11-24,,False,Nenhum preço encontrado na página
2026-09-22 12:28:42,2026-11-17,2026-11-25,,False,Nenhum preço encontrado na página
2026-09-22 17:16:42,2026-11-18,2026-11-26,,False,Nenhum preço encontrado na página
2026-09-22 20:15:38,2026-11-19,2026-11-27,,False,Nenhum preço encontrado na página
2026-09-22 23:01:58,2026-11-20,2026-11-28,,False,Nenhum preço encontrado na página
2026-09-23 01:33:57,2026-11-21,2026-11-29,,False,Nenhum preço encontrado na página
